"filename", "language", "Go Module File", "Go", "Markdown", "YAML", "Shell Script", "Makefile", "RISC-V Assembly", "TOML", "Protocol Buffers", "JSON", "Properties", "C", "Docker", "Go Checksum File", "Go Template File", "comment", "blank", "total"
"/Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/antlr/antlr4/runtime/Go/antlr/input_stream.go", "Go", 0, 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 26, 114
"/Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/antlr/antlr4/runtime/Go/antlr/int_stream.go", "Go", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 17
"/Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/antlr/antlr4/runtime/Go/antlr/interval_set.go", "Go", 0, 250, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 44, 309
"/Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/antlr/antlr4/runtime/Go/antlr/lexer.go", "Go", 0, 284, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 63, 72, 419
"/Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/antlr/antlr4/runtime/Go/antlr/lexer_action.go", "Go", 0, 276, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 74, 81, 431
"/Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/antlr/antlr4/runtime/Go/antlr/lexer_action_executor.go", "Go", 0, 83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 70, 21, 174
"/Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/antlr/antlr4/runtime/Go/antlr/lexer_atn_simulator.go", "Go", 0, 440, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 149, 91, 680
"/Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/antlr/antlr4/runtime/Go/antlr/ll1_analyzer.go", "Go", 0, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 65, 28, 213
"/Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/antlr/antlr4/runtime/Go/antlr/parser.go", "Go", 0, 421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 206, 92, 719
"/Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/antlr/antlr4/runtime/Go/antlr/parser_atn_simulator.go", "Go", 0, 921, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 486, 138, 1545
"/Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/antlr/antlr4/runtime/Go/antlr/parser_rule_context.go", "Go", 0, 261, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 78, 363
"/Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/antlr/antlr4/runtime/Go/antlr/prediction_context.go", "Go", 0, 508, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 151, 93, 752
"/Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/antlr/antlr4/runtime/Go/antlr/prediction_mode.go", "Go", 0, 140, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 386, 28, 554
"/Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/antlr/antlr4/runtime/Go/antlr/recognizer.go", "Go", 0, 106, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 80, 32, 218
"/Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/antlr/antlr4/runtime/Go/antlr/rule_context.go", "Go", 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 24, 115
"/Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/antlr/antlr4/runtime/Go/antlr/semantic_context.go", "Go", 0, 348, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 82, 467
"/Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/antlr/antlr4/runtime/Go/antlr/token.go", "Go", 0, 141, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 42, 211
"/Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/antlr/antlr4/runtime/Go/antlr/token_source.go", "Go", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 18
"/Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/antlr/antlr4/runtime/Go/antlr/token_stream.go", "Go", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6, 21
"/Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/antlr/antlr4/runtime/Go/antlr/tokenstream_rewriter.go", "Go", 0, 398, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 169, 83, 650
"/Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/antlr/antlr4/runtime/Go/antlr/trace_listener.go", "Go", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9, 33
"/Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/antlr/antlr4/runtime/Go/antlr/transition.go", "Go", 0, 292, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 101, 429
"/Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/antlr/antlr4/runtime/Go/antlr/tree.go", "Go", 0, 158, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 42, 57, 257
"/Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/antlr/antlr4/runtime/Go/antlr/trees.go", "Go", 0, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 22, 138
"/Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/antlr/antlr4/runtime/Go/antlr/utils.go", "Go", 0, 275, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 70, 356
"/Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/antlr/antlr4/runtime/Go/antlr/utils_set.go", "Go", 0, 189, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 44, 238
"/Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/asaskevich/govalidator/.travis.yml", "YAML", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15
"/Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/asaskevich/govalidator/CONTRIBUTING.md", "Markdown", 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 63
"/Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/asaskevich/govalidator/README.md", "Markdown", 0, 0, 450, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 57, 507
"/Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/asaskevich/govalidator/arrays.go", "Go", 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 9, 59
"/Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/asaskevich/govalidator/converter.go", "Go", 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 65
"/Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/asaskevich/govalidator/error.go", "Go", 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 44
"/Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/asaskevich/govalidator/numerics.go", "Go", 0, 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 16, 98
"/Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/asaskevich/govalidator/patterns.go", "Go", 0, 92, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 102
"/Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/asaskevich/govalidator/types.go", "Go", 0, 595, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 24, 637
"/Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/asaskevich/govalidator/utils.go", "Go", 0, 194, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 38, 271
"/Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/asaskevich/govalidator/validator.go", "Go", 0, 977, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 153, 149, 1279
"/Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/asaskevich/govalidator/wercker.yml", "YAML", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"/Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/beorn7/perks/quantile/stream.go", "Go", 0, 211, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 71, 35, 317
"/Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/blang/semver/v4/json.go", "Go", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7, 24
"/Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/blang/semver/v4/range.go", "Go", 0, 293, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 81, 43, 417
"/Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/blang/semver/v4/semver.go", "Go", 0, 361, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 53, 63, 477
"/Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/blang/semver/v4/sort.go", "Go", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 7, 29
"/Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/blang/semver/v4/sql.go", "Go", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6, 31
"/Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/cenkalti/backoff/v4/.travis.yml", "YAML", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"/Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/cenkalti/backoff/v4/README.md", "Markdown", 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 33
"/Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/cenkalti/backoff/v4/backoff.go", "Go", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 14, 67
"/Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/cenkalti/backoff/v4/context.go", "Go", 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 10, 63
"/Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/cenkalti/backoff/v4/exponential.go", "Go", 0, 76, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 70, 16, 162
"/Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/cenkalti/backoff/v4/retry.go", "Go", 0, 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 21, 113
"/Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/cenkalti/backoff/v4/ticker.go", "Go", 0, 71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 13, 98
"/Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/cenkalti/backoff/v4/timer.go", "Go", 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 7, 36
"/Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/cenkalti/backoff/v4/tries.go", "Go", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 6, 39
