Date : 2023-07-09 13:48:23
Directory : /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager
Total : 5511 files,  1165817 codes, 253770 comments, 137989 blanks, all 1557576 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/golang.org/x/oauth2/transport.go                                                                               | Go               |         53 |         24 |         13 |         90 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/golang.org/x/sync/singleflight/singleflight.go                                                                 | Go               |        129 |         50 |         27 |        206 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/golang.org/x/sys/cpu/asm_aix_ppc64.s                                                                           | RISC-V Assembly  |         12 |          1 |          6 |         19 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/golang.org/x/sys/cpu/byteorder.go                                                                              | Go               |         51 |          6 |         10 |         67 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/golang.org/x/sys/cpu/cpu.go                                                                                    | Go               |        218 |         47 |         23 |        288 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/golang.org/x/sys/cpu/cpu_aix.go                                                                                | Go               |         22 |          6 |          7 |         35 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/golang.org/x/sys/cpu/cpu_arm.go                                                                                | Go               |         62 |          5 |          7 |         74 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/golang.org/x/sys/cpu/cpu_arm64.go                                                                              | Go               |        134 |         12 |         27 |        173 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/golang.org/x/sys/cpu/cpu_arm64.s                                                                               | RISC-V Assembly  |         26 |          1 |          6 |         33 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/golang.org/x/sys/cpu/cpu_gc_arm64.go                                                                           | Go               |          4 |          5 |          4 |         13 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/golang.org/x/sys/cpu/cpu_gc_s390x.go                                                                           | Go               |          9 |          9 |          5 |         23 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/golang.org/x/sys/cpu/cpu_gc_x86.go                                                                             | Go               |          3 |         10 |          5 |         18 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/golang.org/x/sys/cpu/cpu_gccgo_arm64.go                                                                        | Go               |          4 |          5 |          4 |         13 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/golang.org/x/sys/cpu/cpu_gccgo_s390x.go                                                                        | Go               |          9 |         10 |          5 |         24 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/golang.org/x/sys/cpu/cpu_gccgo_x86.c                                                                           | C                |         23 |         10 |          7 |         40 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/golang.org/x/sys/cpu/cpu_gccgo_x86.go                                                                          | Go               |         16 |         10 |          8 |         34 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/golang.org/x/sys/cpu/cpu_linux.go                                                                              | Go               |          8 |          5 |          4 |         17 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/golang.org/x/sys/cpu/cpu_linux_arm.go                                                                          | Go               |         33 |          3 |          4 |         40 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/golang.org/x/sys/cpu/cpu_linux_arm64.go                                                                        | Go               |         81 |         23 |          8 |        112 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/golang.org/x/sys/cpu/cpu_linux_mips64x.go                                                                      | Go               |         10 |          9 |          6 |         25 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/golang.org/x/sys/cpu/cpu_linux_noinit.go                                                                       | Go               |          2 |          5 |          4 |         11 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/golang.org/x/sys/cpu/cpu_linux_ppc64x.go                                                                       | Go               |         16 |         10 |          7 |         33 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/golang.org/x/sys/cpu/cpu_linux_s390x.go                                                                        | Go               |         28 |          7 |          6 |         41 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/golang.org/x/sys/cpu/cpu_loong64.go                                                                            | Go               |          4 |          5 |          5 |         14 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/golang.org/x/sys/cpu/cpu_mips64x.go                                                                            | Go               |          7 |          5 |          5 |         17 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/golang.org/x/sys/cpu/cpu_mipsx.go                                                                              | Go               |          3 |          5 |          5 |         13 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/golang.org/x/sys/cpu/cpu_netbsd_arm64.go                                                                       | Go               |        142 |         11 |         21 |        174 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/golang.org/x/sys/cpu/cpu_openbsd_arm64.go                                                                      | Go               |         40 |         11 |         15 |         66 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/golang.org/x/sys/cpu/cpu_openbsd_arm64.s                                                                       | RISC-V Assembly  |          7 |          1 |          4 |         12 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/golang.org/x/sys/cpu/cpu_other_arm.go                                                                          | Go               |          2 |          5 |          4 |         11 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/golang.org/x/sys/cpu/cpu_other_arm64.go                                                                        | Go               |          2 |          5 |          4 |         11 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/golang.org/x/sys/cpu/cpu_other_mips64x.go                                                                      | Go               |          4 |          6 |          4 |         14 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/golang.org/x/sys/cpu/cpu_other_ppc64x.go                                                                       | Go               |          5 |          7 |          4 |         16 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/golang.org/x/sys/cpu/cpu_other_riscv64.go                                                                      | Go               |          4 |          5 |          4 |         13 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/golang.org/x/sys/cpu/cpu_ppc64x.go                                                                             | Go               |          8 |          5 |          5 |         18 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/golang.org/x/sys/cpu/cpu_riscv64.go                                                                            | Go               |          3 |          5 |          5 |         13 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/golang.org/x/sys/cpu/cpu_s390x.go                                                                              | Go               |        123 |         27 |         23 |        173 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/golang.org/x/sys/cpu/cpu_s390x.s                                                                               | RISC-V Assembly  |         48 |          1 |         10 |         59 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/golang.org/x/sys/cpu/cpu_wasm.go                                                                               | Go               |          4 |          8 |          7 |         19 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/golang.org/x/sys/cpu/cpu_x86.go                                                                                | Go               |        113 |         12 |         21 |        146 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/golang.org/x/sys/cpu/cpu_x86.s                                                                                 | RISC-V Assembly  |         23 |          1 |          5 |         29 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/golang.org/x/sys/cpu/cpu_zos.go                                                                                | Go               |          5 |          3 |          3 |         11 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/golang.org/x/sys/cpu/cpu_zos_s390x.go                                                                          | Go               |         15 |          6 |          5 |         26 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/golang.org/x/sys/cpu/endian_big.go                                                                             | Go               |          2 |          6 |          4 |         12 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/golang.org/x/sys/cpu/endian_little.go                                                                          | Go               |          2 |          6 |          4 |         12 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/golang.org/x/sys/cpu/hwcap_linux.go                                                                            | Go               |         52 |         11 |          9 |         72 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/golang.org/x/sys/cpu/parse.go                                                                                  | Go               |         30 |          9 |          5 |         44 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/golang.org/x/sys/cpu/proc_cpuinfo_linux.go                                                                     | Go               |         41 |          6 |          8 |         55 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/golang.org/x/sys/cpu/runtime_auxv.go                                                                           | Go               |          8 |          5 |          4 |         17 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/golang.org/x/sys/cpu/runtime_auxv_go121.go                                                                     | Go               |          8 |          6 |          6 |         20 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/golang.org/x/sys/cpu/syscall_aix_gccgo.go                                                                      | Go               |         10 |         11 |          7 |         28 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/golang.org/x/sys/cpu/syscall_aix_ppc64_gc.go                                                                   | Go               |         14 |         11 |         12 |         37 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/golang.org/x/sys/execabs/execabs.go                                                                            | Go               |         45 |         45 |         13 |        103 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/golang.org/x/sys/execabs/execabs_go118.go                                                                      | Go               |          8 |          5 |          6 |         19 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/golang.org/x/sys/execabs/execabs_go119.go                                                                      | Go               |         11 |          5 |          6 |         22 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/golang.org/x/sys/internal/unsafeheader/unsafeheader.go                                                         | Go               |         13 |         13 |          5 |         31 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/golang.org/x/sys/plan9/asm.s                                                                                   | RISC-V Assembly  |          5 |          1 |          3 |          9 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/golang.org/x/sys/plan9/asm_plan9_386.s                                                                         | RISC-V Assembly  |         20 |          1 |         10 |         31 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/golang.org/x/sys/plan9/asm_plan9_amd64.s                                                                       | RISC-V Assembly  |         20 |          1 |         10 |         31 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/golang.org/x/sys/plan9/asm_plan9_arm.s                                                                         | RISC-V Assembly  |         16 |          1 |          9 |         26 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/golang.org/x/sys/plan9/const_plan9.go                                                                          | Go               |         57 |          6 |          8 |         71 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/golang.org/x/sys/plan9/dir_plan9.go                                                                            | Go               |        153 |         31 |         29 |        213 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/golang.org/x/sys/plan9/env_plan9.go                                                                            | Go               |         19 |          4 |          9 |         32 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/golang.org/x/sys/plan9/errors_plan9.go                                                                         | Go               |         35 |          9 |          7 |         51 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/golang.org/x/sys/plan9/mkall.sh                                                                                | Shell Script     |         69 |         74 |          8 |        151 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/golang.org/x/sys/plan9/mkerrors.sh                                                                             | Shell Script     |        180 |         35 |         32 |        247 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/golang.org/x/sys/plan9/mksysnum_plan9.sh                                                                       | Shell Script     |         13 |          4 |          7 |         24 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/golang.org/x/sys/plan9/pwd_go15_plan9.go                                                                       | Go               |         11 |          5 |          7 |         23 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/golang.org/x/sys/plan9/pwd_plan9.go                                                                            | Go               |         14 |          5 |          6 |         25 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/golang.org/x/sys/plan9/race.go                                                                                 | Go               |         18 |          5 |          9 |         32 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/golang.org/x/sys/plan9/race0.go                                                                                | Go               |         13 |          5 |          9 |         27 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/golang.org/x/sys/plan9/str.go                                                                                  | Go               |         15 |          5 |          4 |         24 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/golang.org/x/sys/plan9/syscall.go                                                                              | Go               |         54 |         41 |         16 |        111 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/golang.org/x/sys/plan9/syscall_plan9.go                                                                        | Go               |        246 |         37 |         79 |        362 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/golang.org/x/sys/plan9/zsyscall_plan9_386.go                                                                   | Go               |        227 |         21 |         38 |        286 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/golang.org/x/sys/plan9/zsyscall_plan9_amd64.go                                                                 | Go               |        227 |         21 |         38 |        286 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/golang.org/x/sys/plan9/zsyscall_plan9_arm.go                                                                   | Go               |        227 |         21 |         38 |        286 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/golang.org/x/sys/plan9/zsysnum_plan9.go                                                                        | Go               |         45 |          2 |          3 |         50 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/golang.org/x/sys/unix/README.md                                                                                | Markdown         |        138 |          0 |         47 |        185 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/golang.org/x/sys/unix/affinity_linux.go                                                                        | Go               |         57 |         14 |         16 |         87 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/golang.org/x/sys/unix/aliases.go                                                                               | Go               |          5 |          6 |          5 |         16 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/golang.org/x/sys/unix/asm_aix_ppc64.s                                                                          | RISC-V Assembly  |         12 |          1 |          6 |         19 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/golang.org/x/sys/unix/asm_bsd_386.s                                                                            | RISC-V Assembly  |         19 |          1 |         10 |         30 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/golang.org/x/sys/unix/asm_bsd_amd64.s                                                                          | RISC-V Assembly  |         19 |          1 |         10 |         30 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/golang.org/x/sys/unix/asm_bsd_arm.s                                                                            | RISC-V Assembly  |         19 |          1 |         10 |         30 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/golang.org/x/sys/unix/asm_bsd_arm64.s                                                                          | RISC-V Assembly  |         19 |          1 |         10 |         30 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/golang.org/x/sys/unix/asm_bsd_ppc64.s                                                                          | RISC-V Assembly  |         21 |          1 |         10 |         32 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/golang.org/x/sys/unix/asm_bsd_riscv64.s                                                                        | RISC-V Assembly  |         19 |          1 |         10 |         30 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/golang.org/x/sys/unix/asm_linux_386.s                                                                          | RISC-V Assembly  |         50 |          2 |         15 |         67 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/golang.org/x/sys/unix/asm_linux_amd64.s                                                                        | RISC-V Assembly  |         46 |          1 |         12 |         59 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/golang.org/x/sys/unix/asm_linux_arm.s                                                                          | RISC-V Assembly  |         45 |          1 |         12 |         58 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/golang.org/x/sys/unix/asm_linux_arm64.s                                                                        | RISC-V Assembly  |         43 |          1 |         10 |         54 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/golang.org/x/sys/unix/asm_linux_loong64.s                                                                      | RISC-V Assembly  |         43 |          1 |         11 |         55 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/golang.org/x/sys/unix/asm_linux_mips64x.s                                                                      | RISC-V Assembly  |         46 |          1 |         11 |         58 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/golang.org/x/sys/unix/asm_linux_mipsx.s                                                                        | RISC-V Assembly  |         43 |          1 |         12 |         56 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/golang.org/x/sys/unix/asm_linux_ppc64x.s                                                                       | RISC-V Assembly  |         38 |          1 |          7 |         46 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/golang.org/x/sys/unix/asm_linux_riscv64.s                                                                      | RISC-V Assembly  |         39 |          1 |         10 |         50 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/golang.org/x/sys/unix/asm_linux_s390x.s                                                                        | RISC-V Assembly  |         46 |          1 |         11 |         58 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/golang.org/x/sys/unix/asm_openbsd_mips64.s                                                                     | RISC-V Assembly  |         20 |          1 |         10 |         31 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/golang.org/x/sys/unix/asm_solaris_amd64.s                                                                      | RISC-V Assembly  |         12 |          1 |          6 |         19 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/golang.org/x/sys/unix/asm_zos_s390x.s                                                                          | RISC-V Assembly  |        350 |         12 |         65 |        427 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/golang.org/x/sys/unix/bluetooth_linux.go                                                                       | Go               |         25 |          6 |          6 |         37 |
