Date : 2023-07-09 13:48:23
Directory : /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager
Total : 5511 files,  1165817 codes, 253770 comments, 137989 blanks, all 1557576 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/k8s.io/kube-openapi/pkg/spec3/operation.go                                                                     | Go               |         57 |         32 |          9 |         98 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/k8s.io/kube-openapi/pkg/spec3/parameter.go                                                                     | Go               |         73 |         33 |         11 |        117 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/k8s.io/kube-openapi/pkg/spec3/path.go                                                                          | Go               |        169 |         35 |         19 |        223 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/k8s.io/kube-openapi/pkg/spec3/request_body.go                                                                  | Go               |         63 |         23 |          9 |         95 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/k8s.io/kube-openapi/pkg/spec3/response.go                                                                      | Go               |        245 |         42 |         24 |        311 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/k8s.io/kube-openapi/pkg/spec3/security_scheme.go                                                               | Go               |         72 |         35 |         12 |        119 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/k8s.io/kube-openapi/pkg/spec3/server.go                                                                        | Go               |         96 |         23 |         17 |        136 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/k8s.io/kube-openapi/pkg/spec3/spec.go                                                                          | Go               |         23 |         22 |          6 |         51 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/k8s.io/kube-openapi/pkg/util/proto/doc.go                                                                      | Go               |          1 |         17 |          2 |         20 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/k8s.io/kube-openapi/pkg/util/proto/document.go                                                                 | Go               |        275 |         49 |         39 |        363 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/k8s.io/kube-openapi/pkg/util/proto/document_v3.go                                                              | Go               |        240 |         42 |         43 |        325 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/k8s.io/kube-openapi/pkg/util/proto/openapi.go                                                                  | Go               |        176 |         59 |         51 |        286 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/k8s.io/kube-openapi/pkg/util/sets/empty.go                                                                     | Go               |          2 |         21 |          5 |         28 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/k8s.io/kube-openapi/pkg/util/sets/string.go                                                                    | Go               |        129 |         53 |         26 |        208 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/k8s.io/kube-openapi/pkg/util/trie.go                                                                           | Go               |         53 |         20 |          7 |         80 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/k8s.io/kube-openapi/pkg/util/util.go                                                                           | Go               |         41 |         68 |          7 |        116 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/k8s.io/kube-openapi/pkg/validation/errors/api.go                                                               | Go               |         24 |         15 |          8 |         47 |
